G,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,4,0,2,7,6,9,8,8,9,12,13,16,14,9,12,16,19,16,13,16,18,24,21,16,10,23,15,11,14,15,21,15,26,21,23,16,24,24,29,30,37,37,28,42,27,28,20,17,23,20,18,11,16,20,25,23,17,16,22,25,18,24,34,46,18,19,30,25,23,25,27,24,34,32,38,41,24,28,30,19,32,23,21,19,19,31,22,25,32,28,28,36,33,26,40,22,23,36,28,36,30,25,22,25,23,24,18,22,20,26,19,31,32,19,32,16,20,25,35,31,40,32,39,38,28,21,20,14,22,18,9,12,5,11,9,8,9,11,6,7,6,14,3,4,2,3,6,10,5,3,7,3,3,4,2,3,3,3,2,4,2,3,3,3,5,1,5,2,2,6,7,3,5,3,7,5,3,7,8,1,2,5,3,11,7,15,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,4,1,2,7,4,6,4,10,12,8,11,10,12,16,13,12,20,8,13,11,13,18,13,7,24,11,14,16,14,6,12,25,12,9,16,19,8,12,21,14,17,21,12,18,18,24,17,22,30,23,18,18,33,29,42,32,28,32,29,25,21,20,26,21,26,25,35,17,26,34,31,28,25,31,29,27,24,36,26,25,39,29,26,23,25,17,28,22,31,21,35,32,34,31,44,34,45,30,30,43,24,44,35,43,31,39,27,32,16,28,28,21,26,26,27,23,17,20,21,22,32,37,29,47,36,39,44,28,31,19,27,21,15,14,9,12,9,11,14,6,4,9,10,5,6,12,16,7,11,8,11,8,4,5,7,4,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317
R,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,2,3,1,3,4,3,4,3,7,8,5,4,12,7,8,7,19,5,10,10,10,12,12,10,11,8,9,8,12,12,7,11,7,8,6,6,14,6,6,12,9,9,14,8,11,6,8,13,4,6,8,12,14,9,16,21,12,14,8,14,12,16,11,13,18,9,14,25,21,21,17,11,10,12,14,17,10,18,15,25,12,16,21,22,16,16,18,18,19,27,25,19,21,29,25,18,25,24,20,18,24,33,21,22,35,30,30,31,30,24,28,34,25,20,28,24,25,22,20,15,22,24,13,16,14,20,15,25,22,12,20,23,11,25,23,13,17,20,16,5,11,25,40,35,47,40,71,63,60,44,39,49,41,69,39,49,55,47,50,48,25,31,20,9,14
G,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,2,5,1,9,4,8,9,4,9,4,11,6,16,9,17,8,13,15,13,21,21,7,8,14,18,12,9,10,8,10,7,12,9,17,8,16,18,8,5,12,7,11,13,14,11,11,8,15,16,11,17,17,6,13,19,17,13,20,14,22,21,25,19,33,19,29,36,39,34,34,25,25,36,23,31,24,26,19,20,14,24,25,19,19,25,19,23,21,14,22,26,20,11,25,27,23,20,18,20,15,19,16,15,14,17,17,21,18,18,21,14,19,18,17,21,19,23,21,18,16,21,21,22,17,25,25,36,29,26,30,20,32,18,24,23,19,21,15,20,12,12,14,9,21,19,16,20,14,22,23,13,16,28,26,19,18,11,11,13,20,10,20,19,21,5,9,12,13,18,16,19,18,17,21,16,13,19,17,16,14,12,3,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,3,3,4,4,4,4,4,4,5,3,12,16,9,11,7,13,12,15,6,11,6,16,9,7,16,14,14,10,10,19,10,9,12,18,8,15,17,10,22,20,19,14,8,22,12,12,11,24,8,8,11,18,14,15,18,17,22,13,18,21,20,30,23,18,22,18,18,22,18,30,16,22,17,13,20,17,25,16,19,34,23,17,21,25,26,26,25,26,24,32,26,20,22,33,35,18,31,32,19,17,17,26,22,12,31,21,28,16,15,22,12,17,15,23,19,26,19,23,19,27,23,22,26,20,29,37,20,16,35,40,24,27,17,24,23,31,44,37,32,30,46,30,49,42,44,31,46,55,21,23,22,28,17,21,12,15,7,5,8,5,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452
R,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,3,3,1,1,0,4,6,2,0,4,1,3,5,4,3,4,5,2,1,2,3,4,2,11,8,8,5,6,7,3,10,10,10,10,11,8,13,8,2,14,8,8,16,15,12,17,15,19,10,10,7,16,5,8,9,10,8,9,14,10,8,5,6,11,13,11,8,9,14,7,11,13,15,22,14,10,10,11,10,12,17,20,14,15,11,9,10,12,10,14,13,5,15,11,11,18,12,22,13,7,15,16,13,10,17,13,6,13,11,11,16,11,10,13,17,12,9,12,12,17,13,17,23,13,12,24,19,8,21,16,12,13,13,13,23,18,20,9,19,9,14,24,6,25,20,17,32,19,21,23,45,40,38,32,30,48,42,38,16,21,29,34,72,71,121,112,119,74,69,54,52,33,52,35,63,55,94,49,29,16,5,4,1,0
G,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,3,3,4,1,5,1,7,14,17,20,20,27,22,15,21,21,27,19,20,18,13,13,15,12,16,18,14,10,17,11,16,14,14,14,19,14,18,15,14,16,13,16,8,15,8,15,14,13,18,15,13,10,18,20,11,12,20,16,20,14,22,12,16,18,14,14,15,17,16,20,16,19,12,15,8,14,11,8,5,11,8,6,13,7,12,10,10,14,9,11,5,8,8,13,6,11,10,9,6,5,11,8,7,3,5,5,17,9,8,8,13,10,10,6,5,6,13,16,18,22,23,8,11,19,16,26,39,39,34,48,26,70,46,30,41,30,35,33,20,26,18,18,17,12,19,9,25,19,26,32,15,22,30,26,35,41,11,14,19,7,18,19,8,11,10,20,13,23,10,20,30,20,32,57,31,23,46,29,26,18,42,41,85,34,33,12,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,2,2,3,6,6,7,9,3,3,3,11,12,12,13,22,13,22,30,20,17,13,14,21,16,20,16,19,17,28,15,19,22,21,17,20,20,18,15,19,20,18,18,29,13,17,26,17,25,23,15,23,15,16,19,13,15,26,22,21,14,24,18,11,14,13,13,16,18,14,9,18,12,8,13,10,10,15,7,13,5,11,10,12,5,5,6,5,3,11,8,14,7,7,6,14,8,12,11,4,4,8,10,4,7,6,6,6,4,4,7,6,4,6,7,5,3,2,9,5,6,6,12,4,5,12,13,16,31,13,32,38,44,35,64,72,68,65,93,79,89,48,80,52,52,42,58,63,61,74,44,49,18,25,11,39,19,22,23,11,22,16,39,5,40,10,30,4,1,6,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317
R,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,3,4,4,4,5,3,5,1,3,5,3,4,3,4,5,2,7,6,5,5,6,13,13,17,12,7,14,23,13,18,13,18,17,23,17,27,24,22,29,28,25,32,25,26,29,26,17,25,22,24,21,29,21,24,27,29,23,22,19,21,25,23,20,27,21,19,31,25,24,25,35,22,25,17,26,34,21,31,20,29,23,32,31,36,34,31,38,20,29,36,32,29,44,49,44,31,45,41,27,47,37,48,39,50,38,33,29,32,27,41,32,44,31,37,28,27,26,17,21,27,30,26,23,20,36,26,20,15,15,12,14,9,13,22,9,10,7,6,9,6,5,12,7,12,7,9,7,7,8,9,18,9,11,18,12,1,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,3,2,2,8,3,4,3,11,7,3,9,2,8,10,10,17,13,23,13,24,24,17,15,21,16,13,16,22,12,15,27,23,25,24,28,31,48,34,33,30,40,31,32,21,16,30,21,19,24,16,28,19,26,30,25,19,20,31,35,33,24,19,30,22,17,29,24,22,34,36,39,32,45,50,44,28,49,51,38,48,33,34,37,33,40,41,44,28,36,52,50,42,62,51,63,50,57,62,53,43,32,35,27,38,17,18,19,12,22,13,9,9,8,3,5,2,3,7,3,5,2,8,4,1,3,7,3,5,5,11,14,13,3,10,6,7,9,12,11,30,31,23,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
